roi_index,roi
0,CTX_LH_BANKSSTS_SUVR
1,CTX_LH_CAUDALANTERIORCINGULATE_SUVR
2,CTX_LH_CAUDALMIDDLEFRONTAL_SUVR
3,CTX_LH_CUNEUS_SUVR
4,CTX_LH_ENTORHINAL_SUVR
5,CTX_LH_FUSIFORM_SUVR
6,CTX_LH_INFERIORPARIETAL_SUVR
7,CTX_LH_INFERIORTEMPORAL_SUVR
8,CTX_LH_ISTHMUSCINGULATE_SUVR
9,CTX_LH_LATERALOCCIPITAL_SUVR
10,CTX_LH_LATERALORBITOFRONTAL_SUVR
11,CTX_LH_LINGUAL_SUVR
12,CTX_LH_MEDIALORBITOFRONTAL_SUVR
13,CTX_LH_MIDDLETEMPORAL_SUVR
14,CTX_LH_PARAHIPPOCAMPAL_SUVR
15,CTX_LH_PARACENTRAL_SUVR
16,CTX_LH_PARSOPERCULARIS_SUVR
17,CTX_LH_PARSORBITALIS_SUVR
18,CTX_LH_PARSTRIANGULARIS_SUVR
19,CTX_LH_PERICALCARINE_SUVR
20,CTX_LH_POSTCENTRAL_SUVR
21,CTX_LH_POSTERIORCINGULATE_SUVR
22,CTX_LH_PRECENTRAL_SUVR
23,CTX_LH_PRECUNEUS_SUVR
24,CTX_LH_ROSTRALANTERIORCINGULATE_SUVR
25,CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR
26,CTX_LH_SUPERIORFRONTAL_SUVR
27,CTX_LH_SUPERIORPARIETAL_SUVR
28,CTX_LH_SUPERIORTEMPORAL_SUVR
29,CTX_LH_SUPRAMARGINAL_SUVR
30,CTX_LH_FRONTALPOLE_SUVR
31,CTX_LH_TEMPORALPOLE_SUVR
32,CTX_LH_TRANSVERSETEMPORAL_SUVR
33,CTX_LH_INSULA_SUVR
34,CTX_RH_BANKSSTS_SUVR
35,CTX_RH_CAUDALANTERIORCINGULATE_SUVR
36,CTX_RH_CAUDALMIDDLEFRONTAL_SUVR
37,CTX_RH_CUNEUS_SUVR
38,CTX_RH_ENTORHINAL_SUVR
39,CTX_RH_FUSIFORM_SUVR
40,CTX_RH_INFERIORPARIETAL_SUVR
41,CTX_RH_INFERIORTEMPORAL_SUVR
42,CTX_RH_ISTHMUSCINGULATE_SUVR
43,CTX_RH_LATERALOCCIPITAL_SUVR
44,CTX_RH_LATERALORBITOFRONTAL_SUVR
45,CTX_RH_LINGUAL_SUVR
46,CTX_RH_MEDIALORBITOFRONTAL_SUVR
47,CTX_RH_MIDDLETEMPORAL_SUVR
48,CTX_RH_PARAHIPPOCAMPAL_SUVR
49,CTX_RH_PARACENTRAL_SUVR
50,CTX_RH_PARSOPERCULARIS_SUVR
51,CTX_RH_PARSORBITALIS_SUVR
52,CTX_RH_PARSTRIANGULARIS_SUVR
53,CTX_RH_PERICALCARINE_SUVR
54,CTX_RH_POSTCENTRAL_SUVR
55,CTX_RH_POSTERIORCINGULATE_SUVR
56,CTX_RH_PRECENTRAL_SUVR
57,CTX_RH_PRECUNEUS_SUVR
58,CTX_RH_ROSTRALANTERIORCINGULATE_SUVR
59,CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR
60,CTX_RH_SUPERIORFRONTAL_SUVR
61,CTX_RH_SUPERIORPARIETAL_SUVR
62,CTX_RH_SUPERIORTEMPORAL_SUVR
63,CTX_RH_SUPRAMARGINAL_SUVR
64,CTX_RH_FRONTALPOLE_SUVR
65,CTX_RH_TEMPORALPOLE_SUVR
66,CTX_RH_TRANSVERSETEMPORAL_SUVR
67,CTX_RH_INSULA_SUVR
