umap2d_1,umap2d_2,dynamics_bin
9.301912,10.71103,0.0
7.048978,11.135323,0.0
7.006654,11.411327,0.0
10.562483,12.47339,1.0
14.276375,12.19184,3.0
14.810904,13.237262,3.0
15.873711,11.549352,3.0
17.277943,11.385958,3.0
19.413704,11.087205,4.0
20.941336,10.768113,5.0
20.709967,11.797139,5.0
8.096626,10.46619,0.0
6.8128405,10.04241,0.0
7.567055,10.750261,0.0
5.293424,10.262872,0.0
5.329016,10.091286,0.0
5.953989,10.443249,0.0
8.729402,11.838026,0.0
7.0971937,11.263349,0.0
8.203112,10.530321,0.0
9.034184,11.422167,0.0
8.355247,11.264511,0.0
8.446149,11.165398,0.0
8.941356,11.216304,0.0
9.592771,12.911067,0.0
10.693662,13.112979,1.0
18.6275,12.369863,4.0
17.83182,12.124025,4.0
19.139421,11.997737,5.0
7.2095222,11.810815,0.0
5.8160667,10.815228,0.0
5.6925607,11.03462,0.0
8.42731,12.306204,0.0
8.710349,12.495452,0.0
10.271603,10.451424,1.0
12.645248,11.314181,2.0
7.476791,10.354319,0.0
13.492168,12.038418,2.0
9.540695,11.52153,0.0
9.112626,11.31055,1.0
7.8747115,11.370875,0.0
7.8008294,11.384852,0.0
7.3943095,11.118412,0.0
9.857615,12.026322,1.0
10.787638,12.799829,1.0
7.397638,9.466714,0.0
7.431469,9.4588,0.0
7.482263,9.578063,0.0
7.522247,9.45054,1.0
7.1461005,9.550655,0.0
7.1802683,9.488901,0.0
19.306206,11.963675,5.0
17.506979,13.173677,5.0
17.467655,13.313041,4.0
18.844395,12.782961,5.0
6.224511,10.736505,0.0
18.169893,11.12305,3.0
18.586641,10.930205,4.0
19.682077,10.670501,4.0
19.670023,10.722131,4.0
3.905322,9.898949,0.0
3.6820278,9.924483,0.0
10.39557,10.336281,2.0
9.790245,10.963952,1.0
11.154219,11.218301,2.0
14.640111,12.895915,3.0
15.26123,12.890779,3.0
14.249274,11.349461,3.0
15.665446,11.8079405,3.0
18.640854,11.581041,4.0
23.160778,10.87196,5.0
9.461527,12.843638,0.0
10.941565,13.146297,1.0
11.369255,13.074895,1.0
20.35708,10.936907,5.0
20.430483,10.931158,5.0
11.114873,9.05559,0.0
10.880739,9.07609,0.0
7.7382917,11.7782545,0.0
15.725298,11.231251,3.0
19.947338,11.143347,5.0
20.015854,11.227544,5.0
22.772074,11.687283,5.0
23.479588,11.606054,5.0
22.93401,11.877899,5.0
4.254403,9.871963,0.0
5.7692213,10.644601,0.0
8.51835,11.4898205,0.0
15.485025,12.824168,3.0
14.992487,12.541881,3.0
19.08621,12.061779,5.0
23.155655,11.053434,5.0
23.054976,11.120253,5.0
12.802761,11.8677435,2.0
12.538828,11.525863,2.0
4.9227247,10.072769,0.0
18.160017,10.797084,4.0
18.33301,10.714207,4.0
18.751007,10.925941,5.0
6.1061907,11.670958,0.0
11.065099,9.126212,0.0
11.351716,9.261683,2.0
10.914005,9.200778,0.0
11.086062,9.142578,0.0
7.7088366,10.805671,0.0
17.559578,12.157635,4.0
24.719763,12.002279,5.0
24.637543,12.009752,5.0
20.573421,11.047944,5.0
6.7132583,10.296787,0.0
6.979903,10.189901,0.0
7.709415,10.646885,0.0
6.8247585,10.035499,0.0
19.707819,11.069288,4.0
19.660873,11.358701,5.0
20.690802,10.791435,5.0
16.364788,10.890295,3.0
13.278957,10.713818,2.0
13.140388,10.9163,2.0
13.138573,12.628309,2.0
16.926825,11.561326,4.0
19.911722,11.498519,5.0
24.048267,12.421935,5.0
24.04699,12.460523,5.0
24.490957,12.281628,5.0
6.872327,10.782059,0.0
8.349599,10.501018,0.0
12.565276,11.778405,2.0
18.387863,12.991034,5.0
11.239257,9.104692,0.0
11.061015,9.021369,0.0
11.346934,9.092959,0.0
11.572841,9.2311535,1.0
10.732565,12.759389,1.0
20.522339,10.926072,5.0
22.245625,10.518456,5.0
19.274094,13.160065,5.0
7.2941527,11.356362,0.0
9.712883,12.853536,0.0
20.309174,11.5425,5.0
14.569293,10.586026,3.0
9.62152,11.844929,0.0
9.355438,11.824255,0.0
6.9377284,11.854099,0.0
14.019117,11.099651,3.0
14.433909,10.913463,2.0
14.694905,10.915625,2.0
5.5857882,11.056003,0.0
5.3304276,11.160469,0.0
16.82262,12.667634,4.0
14.79886,12.250375,3.0
4.215384,10.00327,0.0
5.561579,10.734933,0.0
4.37335,10.028308,0.0
4.438768,9.893943,0.0
3.8215833,9.7848835,0.0
21.500128,11.84224,5.0
4.463476,9.978696,0.0
19.772894,11.831474,5.0
19.668165,11.9631815,5.0
17.7165,11.224233,4.0
17.858946,11.214917,4.0
5.0289583,9.728706,0.0
7.790743,10.128875,0.0
7.6444488,10.459351,0.0
6.7619214,9.799753,0.0
5.030519,9.692397,0.0
5.1753426,10.02642,0.0
4.6763487,9.81181,0.0
11.820571,10.994726,2.0
14.448609,11.703622,3.0
15.363249,11.667777,4.0
18.193733,12.162575,5.0
18.06839,11.473466,4.0
11.022222,11.56254,1.0
9.616359,12.379433,0.0
9.63351,11.973188,0.0
8.778968,12.062245,0.0
5.125781,10.445525,0.0
13.766405,13.782807,2.0
4.6790614,10.32072,0.0
17.710112,10.947841,3.0
19.717432,10.757574,4.0
19.789253,10.717304,4.0
20.227037,11.570249,5.0
19.45861,11.924898,5.0
19.286156,12.481295,5.0
5.0602555,10.276927,0.0
5.7594223,10.273142,0.0
6.1011395,10.189667,0.0
6.6694813,10.840238,0.0
9.423491,11.184798,0.0
9.753481,11.192964,0.0
17.179996,10.728829,3.0
17.774323,10.947566,3.0
18.313972,10.846714,4.0
17.78212,11.161774,4.0
5.9319906,11.53838,0.0
19.534544,12.807185,5.0
6.8817854,11.9104,0.0
8.738848,12.709375,0.0
18.265959,11.098549,4.0
22.04212,10.400351,5.0
21.673376,10.597752,5.0
24.018883,11.295636,5.0
24.14338,11.374369,5.0
8.908566,10.035699,0.0
10.145153,12.580237,1.0
9.941208,12.512973,0.0
10.124973,12.755217,1.0
12.146841,12.232391,2.0
6.8345995,12.20092,0.0
8.513087,12.807102,0.0
7.9077597,12.612293,0.0
8.099332,12.525061,0.0
9.275189,12.857668,1.0
8.806661,9.931024,0.0
8.947876,9.746784,0.0
16.220284,11.332511,3.0
18.045685,12.357194,5.0
22.94607,11.809768,5.0
19.899612,11.447946,5.0
6.8061595,10.267188,0.0
23.862114,12.088652,5.0
20.27012,13.428922,5.0
9.947616,11.764188,1.0
10.653063,12.006544,1.0
10.623717,12.023549,1.0
8.410179,11.44229,0.0
18.682514,11.705289,4.0
20.035082,11.624236,5.0
7.938773,10.002534,0.0
11.275928,9.590164,0.0
15.726194,11.897298,4.0
5.724843,9.52915,0.0
6.9056005,9.414182,0.0
9.255404,9.351212,1.0
12.312763,10.43222,2.0
14.160239,10.315408,3.0
16.878353,10.714525,3.0
4.8801455,10.595923,0.0
4.488091,10.458764,0.0
4.306017,10.379157,0.0
6.966299,11.96248,0.0
