hemisphere,roi,average_z_score_difference
LH,BANKSSTS,0.013843200435761252
LH,CAUDALANTERIORCINGULATE,-0.379313625872686
LH,CAUDALMIDDLEFRONTAL,-0.16461940185532892
LH,CUNEUS,0.39764263709577663
LH,ENTORHINAL,-0.10593370306260719
LH,FUSIFORM,0.151281693782295
LH,INFERIORPARIETAL,0.14909078675209259
LH,INFERIORTEMPORAL,0.12167291734946206
LH,ISTHMUSCINGULATE,-0.18226769473434618
LH,LATERALOCCIPITAL,0.6758262985414145
LH,LATERALORBITOFRONTAL,-0.23628637721867568
LH,LINGUAL,0.3887414684816326
LH,MEDIALORBITOFRONTAL,-0.3692766844249893
LH,MIDDLETEMPORAL,0.07961704016883016
LH,PARAHIPPOCAMPAL,-0.08491836320053375
LH,PARACENTRAL,-0.09827067610734998
LH,PARSOPERCULARIS,-0.20771022633637817
LH,PARSORBITALIS,-0.10722567813542477
LH,PARSTRIANGULARIS,-0.21477571059052125
LH,PERICALCARINE,0.32972536341726466
LH,POSTCENTRAL,0.04455990714449746
LH,POSTERIORCINGULATE,-0.2495313578930466
LH,PRECENTRAL,-0.029777711822930028
LH,PRECUNEUS,-0.10517516109223436
LH,ROSTRALANTERIORCINGULATE,-0.3977080625651836
LH,ROSTRALMIDDLEFRONTAL,-0.19449331308122558
LH,SUPERIORFRONTAL,-0.27125400975918396
LH,SUPERIORPARIETAL,0.1598047929694662
LH,SUPERIORTEMPORAL,-0.07422682595892699
LH,SUPRAMARGINAL,0.0029623250101516794
LH,FRONTALPOLE,-0.13227974524015718
LH,TEMPORALPOLE,-0.1388073297311614
LH,TRANSVERSETEMPORAL,-0.19689902874899418
LH,INSULA,-0.272722418219809
RH,BANKSSTS,-0.03120703898406424
RH,CAUDALANTERIORCINGULATE,-0.41260242185088447
RH,CAUDALMIDDLEFRONTAL,-0.18812126448784747
RH,CUNEUS,0.448359168078509
RH,ENTORHINAL,-0.03929244537113668
RH,FUSIFORM,0.1449069153418253
RH,INFERIORPARIETAL,0.09923917423360952
RH,INFERIORTEMPORAL,0.10900112665439579
RH,ISTHMUSCINGULATE,-0.18615508318665555
RH,LATERALOCCIPITAL,0.6015542195734893
RH,LATERALORBITOFRONTAL,-0.26476126367373787
RH,LINGUAL,0.3869307530507252
RH,MEDIALORBITOFRONTAL,-0.3987680994510309
RH,MIDDLETEMPORAL,0.03201638012814706
RH,PARAHIPPOCAMPAL,-0.09533223999033154
RH,PARACENTRAL,-0.10153977475821702
RH,PARSOPERCULARIS,-0.2511000985557867
RH,PARSORBITALIS,-0.1762022152171534
RH,PARSTRIANGULARIS,-0.22716693860347215
RH,PERICALCARINE,0.35782971229617516
RH,POSTCENTRAL,-0.00304775089601492
RH,POSTERIORCINGULATE,-0.24831452270984872
RH,PRECENTRAL,-0.06046631445609868
RH,PRECUNEUS,-0.0827423081378086
RH,ROSTRALANTERIORCINGULATE,-0.4265365748925979
RH,ROSTRALMIDDLEFRONTAL,-0.23471060585682377
RH,SUPERIORFRONTAL,-0.30265300225151504
RH,SUPERIORPARIETAL,0.15349868830643568
RH,SUPERIORTEMPORAL,-0.10594622604957349
RH,SUPRAMARGINAL,-0.026528774578119488
RH,FRONTALPOLE,-0.12832654838202548
RH,TEMPORALPOLE,-0.14540342014521856
RH,TRANSVERSETEMPORAL,-0.20356139533617593
RH,INSULA,-0.2869914519362743
