map_name,subtype_label,stage,display_order
subtype1_stage2,S1,2,1
subtype1_stage4,S1,4,2
subtype1_stage6,S1,6,3
subtype1_stage8,S1,8,4
subtype1_stage10,S1,10,5
subtype1_stage12,S1,12,6
subtype1_stage14,S1,14,7
subtype1_stage16,S1,16,8
subtype1_stage18,S1,18,9
subtype1_stage20,S1,20,10
subtype1_stage22,S1,22,11
subtype1_stage24,S1,24,12
subtype2_stage2,S2,2,1
subtype2_stage4,S2,4,2
subtype2_stage6,S2,6,3
subtype2_stage8,S2,8,4
subtype2_stage10,S2,10,5
subtype2_stage12,S2,12,6
subtype2_stage14,S2,14,7
subtype2_stage16,S2,16,8
subtype2_stage17,S2,17,9
subtype2_stage20,S2,20,10
subtype2_stage22,S2,22,11
subtype2_stage24,S2,24,12
