subtype,time_index,umap1_mean,umap2_mean
0,0,0.2332312167,1.371132851
0,1,0.1377871782,1.276465058
0,2,0.007368765771,1.244550347
0,3,-0.09068527818,1.175771356
0,4,-0.2000278533,1.147763133
0,5,-0.3146986365,1.080470681
0,6,-0.4143332541,1.058322668
0,7,-0.468462944,1.002616405
0,8,-0.5466585159,0.9245980382
0,9,-0.7369452715,0.7657146454
0,10,-0.8364847302,0.7161577344
0,11,-0.9242244363,0.6683446765
0,12,-1.015942335,0.6109175086
0,13,-1.254801631,0.5022602677
0,14,-1.376716495,0.481857866
0,15,-1.439711571,0.3294144273
0,16,-1.551870346,0.2848487794
0,17,-1.688233018,0.2478445917
0,18,-1.803037405,0.0820479095
0,19,-1.928353548,0.007904502563
0,20,-2.029878855,-0.06033140793
0,21,-2.251855373,-0.1469993442
0,22,-2.389574766,-0.1542604417
0,23,-2.449681759,-0.2171473652
0,24,-2.56248045,-0.2747184336
0,25,-2.646703959,-0.3574882746
0,26,-2.768166542,-0.4174515605
0,27,-2.821895123,-0.4794410467
0,28,-2.883838654,-0.5332176089
0,29,-3.000176668,-0.6366497874
0,30,-3.140964985,-0.7590750456
0,31,-3.155102253,-0.7680819035
0,32,-3.231304884,-0.8309161067
0,33,-3.287817478,-0.9080508947
0,34,-3.369509459,-0.9729744196
0,35,-3.45242548,-1.022367001
0,36,-3.514888525,-1.059723496
0,37,-3.6396873,-1.200478077
0,38,-3.808484316,-1.31084311
0,39,-3.864737749,-1.373204947
0,40,-3.917225361,-1.417610407
0,41,-4.088042736,-1.532378793
0,42,-4.175858974,-1.609078169
0,43,-4.234968185,-1.678643346
0,44,-4.318665981,-1.753564
0,45,-4.383513451,-1.799270988
0,46,-4.442851067,-1.85565865
0,47,-4.47337532,-1.896648049
0,48,-4.542955399,-1.953812003
0,49,-4.570016861,-1.994969845
0,50,-4.699221611,-2.090307474
0,51,-4.751735687,-2.112212896
0,52,-4.883596897,-2.216783524
0,53,-4.942319393,-2.286708832
0,54,-5.020000935,-2.295627356
0,55,-5.076197624,-2.343849659
0,56,-5.122555733,-2.344509363
0,57,-5.1694417,-2.40455699
0,58,-5.21241188,-2.408207893
0,59,-5.220788956,-2.424723387
0,60,-5.264341354,-2.465475321
0,61,-5.169388294,-2.412101984
0,62,-5.197993755,-2.437009811
0,63,-5.202693462,-2.452320337
0,64,-5.258617401,-2.480557919
0,65,-5.323284626,-2.533943892
0,66,-5.394033432,-2.539948702
0,67,-5.527564526,-2.626275539
0,68,-5.59784317,-2.659222364
0,69,-5.665608883,-2.675785065
0,70,-5.69392395,-2.677780151
0,71,-5.79071188,-2.699710608
0,72,-5.85290575,-2.753764391
0,73,-5.921731949,-2.77598834
0,74,-5.926874161,-2.809196711
0,75,-5.957678318,-2.775810957
0,76,-6.039263248,-2.858745098
0,77,-6.080557823,-2.851830721
0,78,-6.122686863,-2.883450985
0,79,-6.210017204,-2.935510159
0,80,-6.280691147,-3.000081301
0,81,-6.341277122,-3.034440279
0,82,-6.368914127,-3.065762281
0,83,-6.43661499,-3.106210709
0,84,-6.44434309,-3.145053148
0,85,-6.72578907,-3.245149612
0,86,-6.767959595,-3.269353628
0,87,-6.920979977,-3.332230568
0,88,-7.010783195,-3.388399363
0,89,-7.058175087,-3.41268611
0,90,-7.110948563,-3.431283951
0,91,-7.170799732,-3.486662865
0,92,-7.219391823,-3.508265018
0,93,-7.292607784,-3.529668331
0,94,-7.416086197,-3.551731586
0,95,-7.468296051,-3.605110168
0,96,-7.580059528,-3.63353157
0,97,-7.647448063,-3.655112267
0,98,-7.763814449,-3.699050426
0,99,-7.810718536,-3.723749638
0,100,-7.903184891,-3.776752234
0,101,-7.945334435,-3.791675329
0,102,-7.982811928,-3.838057995
0,103,-8.07902813,-3.904174566
0,104,-8.138498306,-3.905489445
0,105,-8.19149971,-3.95580554
0,106,-8.233783722,-3.970584154
0,107,-8.270750046,-4.018648624
0,108,-8.324429512,-4.015408516
0,109,-8.361844063,-4.019949913
0,110,-8.393519402,-4.055460453
0,111,-8.475468636,-4.086502075
0,112,-8.513383865,-4.096670151
0,113,-8.574259758,-4.097946644
0,114,-8.600075722,-4.120899677
0,115,-8.622900009,-4.147941113
0,116,-8.698112488,-4.184925079
0,117,-8.755582809,-4.215190411
0,118,-8.78497982,-4.241940498
0,119,-8.794133186,-4.249276161
1,0,0.2332312167,1.371132851
1,1,0.08475761861,1.315321326
1,2,-0.1131422669,1.210128784
1,3,-0.297734648,1.176673174
1,4,-0.4451709092,1.128166795
1,5,-0.6029739976,1.072146893
1,6,-0.8012510538,1.027325273
1,7,-0.9847763777,0.9443576336
1,8,-1.12364924,0.9462608099
1,9,-1.371585608,0.971304059
1,10,-1.521365643,0.868999958
1,11,-1.64656496,0.7598630786
1,12,-1.836407661,0.7199475169
1,13,-1.985082746,0.6966224909
1,14,-2.116846561,0.6957398653
1,15,-2.255158901,0.6628315449
1,16,-2.416995764,0.6519082785
1,17,-2.613084316,0.5793792009
1,18,-2.816420555,0.5938641429
1,19,-3.01809454,0.5438244343
1,20,-3.107335329,0.5369247794
1,21,-3.209177494,0.5269622207
1,22,-3.368048906,0.4318659008
1,23,-3.533675194,0.4001798034
1,24,-3.664519787,0.3541850448
1,25,-3.729338408,0.3028109968
