subtype,time_index,coord1,coord2
0,0,0.01860963181,1.415172696
0,1,-3.439489603,-1.099849224
0,2,-3.510807753,-1.156243563
0,3,-3.580994368,-1.211729407
0,4,-3.650061607,-1.266293764
0,5,-3.718021631,-1.319925547
0,6,-3.784889221,-1.372617364
0,7,-3.850678921,-1.424363136
0,8,-3.915407658,-1.47516036
0,9,-3.97909236,-1.525007725
0,10,-4.041751862,-1.573907018
0,11,-4.103404522,-1.621860862
0,12,-4.164070606,-1.668874621
0,13,-4.223769665,-1.714954257
0,14,-4.282523632,-1.760108113
0,15,-4.340353489,-1.804345131
0,16,-4.39728117,-1.847676039
0,17,-4.453328609,-1.890111923
0,18,-4.508518696,-1.93166554
0,19,-4.562873363,-1.972349763
0,20,-4.616416454,-2.012178898
0,21,-4.66917038,-2.05116725
0,22,-4.721158981,-2.089330196
0,23,-4.772404671,-2.126682997
0,24,-4.82293129,-2.163241863
0,25,-4.872761726,-2.199023008
0,26,-4.921919346,-2.234043121
0,27,-4.970427036,-2.268318892
0,28,-5.018308163,-2.301867485
0,29,-5.065585613,-2.334705591
0,30,-5.112282276,-2.366850853
0,31,-5.158420086,-2.398320198
0,32,-5.204022408,-2.429131031
0,33,-5.249111176,-2.45930028
0,34,-5.293708801,-2.488845587
0,35,-5.337836742,-2.517783642
0,36,-5.381516457,-2.546131372
0,37,-5.424770355,-2.573906183
0,38,-5.467618465,-2.601124525
0,39,-5.510082722,-2.627803087
0,40,-5.552183151,-2.653958321
0,41,-5.593940258,-2.679606676
0,42,-5.635374546,-2.704764366
0,43,-5.676505089,-2.729447365
0,44,-5.717351913,-2.753671169
0,45,-5.757934093,-2.777451277
0,46,-5.798270702,-2.800803661
0,47,-5.838380337,-2.823743105
0,48,-5.878281116,-2.846284628
0,49,-5.917990685,-2.868442535
0,50,-5.957527637,-2.890231848
0,51,-5.996908665,-2.911666632
0,52,-6.036150932,-2.932760715
0,53,-6.075270653,-2.953527689
0,54,-6.114284515,-2.97398138
0,55,-6.153208256,-2.994134903
0,56,-6.19205761,-3.014001131
0,57,-6.230846882,-3.033592701
0,58,-6.269592285,-3.052922487
0,59,-6.308307648,-3.072002411
0,60,-6.347006798,-3.090844631
0,61,-6.385703564,-3.109460354
0,62,-6.424411774,-3.1278615
0,63,-6.463143826,-3.146059036
0,64,-6.501912594,-3.164063692
0,65,-6.540729523,-3.181886196
0,66,-6.579607964,-3.199537039
0,67,-6.618558407,-3.217025995
0,68,-6.65759182,-3.234363079
0,69,-6.69671917,-3.251557589
0,70,-6.735950947,-3.268619061
0,71,-6.775296688,-3.285556555
0,72,-6.814766407,-3.302378654
0,73,-6.854368687,-3.319093704
0,74,-6.894113064,-3.335710287
0,75,-6.934007168,-3.352236032
0,76,-6.974059582,-3.368678808
0,77,-7.014277458,-3.385045767
0,78,-7.054668903,-3.401344538
0,79,-7.095240593,-3.417581797
0,80,-7.135998726,-3.433764219
0,81,-7.176949501,-3.449898005
0,82,-7.218099117,-3.46598959
0,83,-7.259453297,-3.482044935
0,84,-7.301016808,-3.498069763
0,85,-7.342793941,-3.514069319
0,86,-7.384790421,-3.530049086
0,87,-7.427010059,-3.546014071
0,88,-7.469456196,-3.561968803
0,89,-7.512132645,-3.577918053
0,90,-7.555042267,-3.593865871
0,91,-7.598188877,-3.60981679
0,92,-7.641574383,-3.625774622
0,93,-7.685201168,-3.641742945
0,94,-7.72907114,-3.657725334
0,95,-7.773186684,-3.673725367
0,96,-7.817548752,-3.689745903
0,97,-7.862158775,-3.705789804
0,98,-7.907017708,-3.721859932
0,99,-7.952126503,-3.737959146
0,100,-7.997485638,-3.754089594
0,101,-8.043094635,-3.770253658
0,102,-8.088953972,-3.786453485
0,103,-8.135064125,-3.802690983
0,104,-8.181424141,-3.818968058
0,105,-8.228034019,-3.83528614
0,106,-8.274891853,-3.8516469
0,107,-8.321997643,-3.868051767
0,108,-8.369350433,-3.884502172
0,109,-8.416948318,-3.900999069
0,110,-8.464790344,-3.917543173
0,111,-8.512875557,-3.934135914
0,112,-8.561201096,-3.950778008
0,113,-8.609766006,-3.967470169
0,114,-8.658567429,-3.984212637
0,115,-8.707604408,-4.001006603
0,116,-8.756874084,-4.01785183
0,117,-8.80637455,-4.034749031
0,118,-8.856102943,-4.051698208
0,119,-8.906057358,-4.068699837
0,120,-8.956234932,-4.085753918
1,0,0.01860963181,1.415172696
1,1,-4.62580061,-0.08334641904
1,2,-4.702467918,-0.1118279546
1,3,-4.776640892,-0.1400761902
1,4,-4.848435879,-0.1681422591
1,5,-4.917966366,-0.1960749924
1,6,-4.985343933,-0.2239216715
1,7,-5.050675392,-0.2517267466
1,8,-5.11406517,-0.2795327604
1,9,-5.17561245,-0.3073791265
1,10,-5.235413074,-0.3353032172
1,11,-5.293557644,-0.3633391261
1,12,-5.350132942,-0.3915188313
1,13,-5.405220509,-0.4198709726
1,14,-5.458899021,-0.4484220147
1,15,-5.511241436,-0.4771951437
1,16,-5.562317848,-0.5062113404
1,17,-5.612193108,-0.5354883671
1,18,-5.660930157,-0.5650418401
1,19,-5.708586216,-0.5948841572
1,20,-5.755216599,-0.6250257492
1,21,-5.800872803,-0.6554739475
1,22,-5.845603466,-0.6862341762
1,23,-5.889453411,-0.7173089385
1,24,-5.93246603,-0.748699069
1,25,-5.974680901,-0.7804026604
1,26,-6.016136169,-0.8124163747
1,27,-6.056866646,-0.8447343111
1,28,-6.096906662,-0.8773494363
1,29,-6.136287212,-0.9102525115
1,30,-6.175038338,-0.943433404
1,31,-6.213188171,-0.9768800139
1,32,-6.250763893,-1.010579824
1,33,-6.287790298,-1.044518471
1,34,-6.32429266,-1.078681707
1,35,-6.360293865,-1.113053799
1,36,-6.395815849,-1.147618771
1,37,-6.430881023,-1.18236053
1,38,-6.465509415,-1.217262268
1,39,-6.499722004,-1.252307534
1,40,-6.533538342,-1.287479401
1,41,-6.566977501,-1.322761536
1,42,-6.600059032,-1.358137846
1,43,-6.632801056,-1.393592238
1,44,-6.665221691,-1.429109216
1,45,-6.697339058,-1.4646734
1,46,-6.729171276,-1.500271082
1,47,-6.760735989,-1.535888076
1,48,-6.792050362,-1.571511149
1,49,-6.823132038,-1.607127547
1,50,-6.853998661,-1.642726183
1,51,-6.88466692,-1.678295732
1,52,-6.91515398,-1.713825941
