subtype,observed_group,roi_index,roi_short,abs_error
0,bin0,0,L-BANKSSTS,0.005489162694
0,bin0,1,L-CAUDALANTERIORCINGULATE,0.02425623731
0,bin0,2,L-CAUDALMIDDLEFRONTAL,0.0005157834197
0,bin0,3,L-CUNEUS,0.03277375285
0,bin0,4,L-ENTORHINAL,0.003058178238
0,bin0,5,L-FUSIFORM,0.01644285855
0,bin0,6,L-INFERIORPARIETAL,0.002583698964
0,bin0,7,L-INFERIORTEMPORAL,2.843108808e-05
0,bin0,8,L-ISTHMUSCINGULATE,0.02687301762
0,bin0,9,L-LATERALOCCIPITAL,0.06432322021
0,bin0,10,L-LATERALORBITOFRONTAL,0.0190301399
0,bin0,11,L-LINGUAL,0.01794119223
0,bin0,12,L-MEDIALORBITOFRONTAL,0.01923299067
0,bin0,13,L-MIDDLETEMPORAL,0.001210608808
0,bin0,14,L-PARAHIPPOCAMPAL,0.01329432642
0,bin0,15,L-PARACENTRAL,0.007503168912
0,bin0,16,L-PARSOPERCULARIS,0.006999153886
0,bin0,17,L-PARSORBITALIS,0.01321451451
0,bin0,18,L-PARSTRIANGULARIS,0.03091093679
0,bin0,19,L-PERICALCARINE,0.03528975855
0,bin0,20,L-POSTCENTRAL,0.01968103109
0,bin0,21,L-POSTERIORCINGULATE,0.01519092176
0,bin0,22,L-PRECENTRAL,0.01016579689
0,bin0,23,L-PRECUNEUS,0.004305329016
0,bin0,24,L-ROSTRALANTERIORCINGULATE,0.0534937228
0,bin0,25,L-ROSTRALMIDDLEFRONTAL,0.01460911295
0,bin0,26,L-SUPERIORFRONTAL,0.00152691658
0,bin0,27,L-SUPERIORPARIETAL,0.02869072021
0,bin0,28,L-SUPERIORTEMPORAL,0.005774779275
0,bin0,29,L-SUPRAMARGINAL,0.004154437824
0,bin0,30,L-FRONTALPOLE,0.04391416269
0,bin0,31,L-TEMPORALPOLE,0.02069013005
0,bin0,32,L-TRANSVERSETEMPORAL,0.004408598964
0,bin0,33,L-INSULA,0.03602537306
0,bin0,34,R-BANKSSTS,0.01755740777
0,bin0,35,R-CAUDALANTERIORCINGULATE,0.02386084145
0,bin0,36,R-CAUDALMIDDLEFRONTAL,0.01999129896
0,bin0,37,R-CUNEUS,0.004164263731
0,bin0,38,R-ENTORHINAL,0.0576747171
0,bin0,39,R-FUSIFORM,0.02965607979
0,bin0,40,R-INFERIORPARIETAL,0.02269398135
0,bin0,41,R-INFERIORTEMPORAL,0.03349396528
0,bin0,42,R-ISTHMUSCINGULATE,0.008880745596
0,bin0,43,R-LATERALOCCIPITAL,0.02284204974
0,bin0,44,R-LATERALORBITOFRONTAL,0.02974862591
0,bin0,45,R-LINGUAL,0.02472539171
0,bin0,46,R-MEDIALORBITOFRONTAL,0.01321766736
0,bin0,47,R-MIDDLETEMPORAL,0.006089740933
0,bin0,48,R-PARAHIPPOCAMPAL,0.03309910415
0,bin0,49,R-PARACENTRAL,0.0160872171
0,bin0,50,R-PARSOPERCULARIS,0.004051440933
0,bin0,51,R-PARSORBITALIS,0.01282517979
0,bin0,52,R-PARSTRIANGULARIS,0.01508918497
0,bin0,53,R-PERICALCARINE,0.0452978456
0,bin0,54,R-POSTCENTRAL,0.007936002073
0,bin0,55,R-POSTERIORCINGULATE,0.003410434197
0,bin0,56,R-PRECENTRAL,0.01323708031
0,bin0,57,R-PRECUNEUS,0.004090768912
0,bin0,58,R-ROSTRALANTERIORCINGULATE,0.008069437306
0,bin0,59,R-ROSTRALMIDDLEFRONTAL,0.009551529016
0,bin0,60,R-SUPERIORFRONTAL,0.006855937824
0,bin0,61,R-SUPERIORPARIETAL,0.03299145544
0,bin0,62,R-SUPERIORTEMPORAL,0.004529144041
0,bin0,63,R-SUPRAMARGINAL,0.0147929772
0,bin0,64,R-FRONTALPOLE,0.03112262332
0,bin0,65,R-TEMPORALPOLE,0.01575907409
0,bin0,66,R-TRANSVERSETEMPORAL,0.007680492228
0,bin0,67,R-INSULA,0.03602739482
0,bin1,0,L-BANKSSTS,0.104249663
0,bin1,1,L-CAUDALANTERIORCINGULATE,0.04399238519
0,bin1,2,L-CAUDALMIDDLEFRONTAL,0.06503999815
0,bin1,3,L-CUNEUS,0.05651241296
0,bin1,4,L-ENTORHINAL,0.08436844074
0,bin1,5,L-FUSIFORM,0.08513641296
