umap1,umap2,dynamics_bin,stage_label
-5.0288086,1.0062511,1,S1-2
-8.0508995,-1.6848056,2,S3-6
-6.2191477,0.40661353,2,S3-6
-7.481763,-1.8587456,2,S3-6
-6.266238,-1.1835786,2,S3-6
-7.228334,-1.809249,2,S3-6
-5.272576,0.44590303,2,S3-6
-8.150656,-2.37249,2,S3-6
-8.271285,-2.3798304,3,S7-15
-8.267435,-2.2855272,3,S7-15
2.9220738,1.4763484,0,S0
-4.641039,-0.976787,1,S1-2
-4.7603726,-1.2373813,1,S1-2
-4.7275915,-1.205736,1,S1-2
-4.79159,-1.1606667,2,S3-6
-8.731444,-3.6717315,4,S16-20
-8.460237,-3.414246,4,S16-20
-0.15826997,1.2687159,0,S0
-4.2494426,0.35083976,1,S1-2
-2.6371973,-0.29497024,2,S3-6
-8.05913,-2.6264384,3,S7-15
-5.8518314,0.7555431,1,S1-2
-6.965407,-1.5185107,3,S7-15
-2.0928876,1.7749763,0,S0
-1.8160067,2.131924,0,S0
-1.9732301,2.044507,0,S0
-8.415814,-3.058461,3,S7-15
-8.436716,-2.764642,3,S7-15
3.9548612,2.0321665,0,S0
-5.282338,-0.6676743,1,S1-2
-4.983573,-0.4968205,1,S1-2
-3.8086493,1.0885602,0,S0
-7.529736,-1.4222622,2,S3-6
-8.738018,-4.2317877,4,S16-20
-2.1629598,1.2441828,0,S0
-7.053641,-2.4293602,3,S7-15
0.62184805,-0.64601344,0,S0
0.31577277,-0.8101649,0,S0
-6.943057,-3.8625855,3,S7-15
0.28878385,3.3436706,0,S0
-8.593892,-2.5493073,2,S3-6
-8.602284,-2.6258414,2,S3-6
3.253509,2.7290633,0,S0
0.73434037,2.2306786,0,S0
-1.2307268,1.6469979,0,S0
-2.746358,2.3828933,1,S1-2
-2.724128,1.4495653,0,S0
-2.9123104,1.5995195,0,S0
-3.1237488,0.9695726,0,S0
-7.8308115,-1.6199422,2,S3-6
-7.3707194,-1.1022512,2,S3-6
-7.708274,-3.3208323,3,S7-15
-7.9804387,-1.5099918,3,S7-15
-6.6094036,-2.2368734,2,S3-6
-7.266716,-2.7349744,3,S7-15
-5.442212,-0.12386736,1,S1-2
