subtype,bin_raw,coord1,coord2,arrow_dx_plotted,arrow_dy_plotted,marker_type
0,1,-5.282338142,-0.6676743031,-0.6333805919,-0.5990306735,o
0,1,-4.98357296,-0.4968205094,-0.6737324595,-0.6269167662,o
0,1,-1.948387027,-1.594268799,-1.219449401,-0.7181431651,o
0,1,-4.416914463,-1.33865416,-0.6904296875,-0.5878363848,o
0,4,-9.331856728,-4.992373466,-0.5826130509,-0.188563779,o
0,3,-7.827110767,-3.92069912,-0.4499227703,-0.180234462,o
0,1,-5.744152069,-0.8079624176,-0.585562408,-0.5695828199,o
0,4,-8.707318306,-4.941285133,-0.6357811689,-0.1871183068,o
0,1,-4.126826763,-0.7404867411,-0.7617632151,-0.6580033898,o
0,1,-2.1848948,-2.030443192,-1.145586133,-0.6598508358,o
0,3,-8.163621902,-3.790873051,-0.4262198508,-0.1920097321,o
0,4,-7.386119366,-3.863695145,-0.7799471021,-0.247345522,o
0,1,-3.905335665,-1.150807381,-0.7683541179,-0.6353058219,o
0,4,-9.147612572,-4.301939964,-0.586796701,-0.198589474,o
0,2,-5.414149284,-3.33977747,-0.5127412081,-0.2408143133,o
0,1,-3.80409503,-1.806198001,-0.760984838,-0.5799607038,o
0,3,-5.586249352,-3.454340696,-0.6339762211,-0.1868509352,o
0,1,-2.772050142,1.892654419,-1.016005278,-0.5913797617,o
0,1,-2.001726866,-0.8672735095,-1.197632432,-0.7756822109,o
0,1,-1.263028979,1.066252351,-1.245956898,-0.6954118609,o
0,1,-6.112949848,-1.439130902,-0.5399477482,-0.5167543888,o
0,1,-2.903275728,-1.598832011,-0.9487249851,-0.6577797532,o
0,3,-6.085736275,-3.515619278,-0.580655396,-0.1792619228,o
0,3,-6.552687168,-3.22197175,-0.5385437012,-0.2042789459,o
0,3,-6.20405674,-3.668917894,-0.5658957958,-0.1659492403,o
0,1,-4.575525761,-1.037606597,-0.6870969534,-0.6053775549,o
0,1,-3.002627134,0.5853580236,-1.059158206,-0.7806073427,o
0,1,-3.837898254,-2.355545998,-0.7509433627,-0.5280587077,o
0,1,-3.075082779,0.07935930789,-1.003814101,-0.7784668803,o
0,1,-3.157822132,0.6104744673,-1.034095764,-0.7754682899,o
1,2,-8.050899506,-1.684805632,-0.3510674238,-0.4265805781,h
1,1,-4.641038895,-0.9767869711,-0.8808831573,-0.3234980106,h
1,3,-7.371624947,-2.297948599,-0.4186172783,-0.4457103312,h
1,2,-4.325106621,-0.4967370927,-0.5573414564,-0.417239666,h
1,1,-4.726368427,-1.41923964,-0.8390291929,-0.3160812259,h
1,3,-8.290809631,-3.430526972,-0.3441220224,-0.3096353412,h
1,1,-4.512521744,-1.214832425,-0.8836622238,-0.317820996,h
1,1,-2.221158266,0.9432448745,-1.021282792,-0.26133129,h
1,2,-7.783303261,-2.247755051,-0.3612084091,-0.3770130575,h
1,2,-5.167148113,1.121166706,-0.3394543827,-0.2231689543,h
1,4,-9.098879814,-4.150076866,-0.5278260708,-0.3609246314,h
1,2,-7.46024847,-2.111232281,-0.3672853112,-0.3788104355,h
1,1,-3.682213783,-0.3126878142,-1.00893724,-0.3055461347,h
1,2,-5.342123985,-1.011975646,-0.4683513641,-0.4215630591,h
1,3,-6.967324257,-2.256861448,-0.4664447606,-0.4659106433,h
1,4,-9.880991936,-4.548753262,-0.452013582,-0.3147972822,h
1,2,-6.788026333,-2.17382431,-0.3807270229,-0.3514795005,h
1,2,-7.302387238,-0.9540262818,-0.3595721722,-0.4490210712,h
1,2,-6.561017513,-0.4921549857,-0.3836972713,-0.4459559321,h
1,2,-7.463179588,-1.957551003,-0.3673196435,-0.3921029568,h
1,2,-7.971993446,-2.278981447,-0.3580570221,-0.3803282082,h
1,3,-6.30694294,-1.538890123,-0.584428668,-0.6088731885,h
1,1,-4.849940777,0.7570201755,-0.887701869,-0.3867400885,h
1,2,-5.547736168,-1.411872387,-0.4457029402,-0.3958265185,h
1,2,-6.885267735,-0.4427424967,-0.3626799881,-0.4481440485,h
1,2,-7.019905567,-1.756413221,-0.3783662021,-0.3969461024,h
1,1,-4.61020565,-0.1977927685,-0.9129746556,-0.3354602158,h
1,2,-6.222868443,0.2957310975,-0.3657869101,-0.3952981532,h
1,1,-4.420563698,0.5846815109,-0.9605182409,-0.3661040664,h
1,4,-9.859146118,-3.779696703,-0.4454614818,-0.3598733842,h
