subtype1_stage_group,subtype2_stage_group,pearson_r
stage0,stage0,0.620305648589957
stage1-2,stage0,-0.5392302956900794
stage3-6,stage0,-0.7938167584393679
stage7-15,stage0,-0.9139019041047416
stage16-20,stage0,-0.652075483557848
stage0,stage1-2,0.1788184124262071
stage1-2,stage1-2,-0.1165138742995089
stage3-6,stage1-2,-0.4792978342626479
stage7-15,stage1-2,-0.7382313577596915
stage16-20,stage1-2,-0.3956416140359585
stage0,stage3-6,-0.0637999393873743
stage1-2,stage3-6,0.2825537644812078
stage3-6,stage3-6,-0.072054485768419
stage7-15,stage3-6,-0.46034364989103
stage16-20,stage3-6,-0.3710545058067682
stage0,stage7-15,-0.0572774251524498
stage1-2,stage7-15,0.1203107481621556
stage3-6,stage7-15,0.2373446036182989
stage7-15,stage7-15,0.1119719292938005
stage16-20,stage7-15,-0.4932052962171397
stage0,stage16-20,-0.1742224506769578
stage1-2,stage16-20,-0.5169200551474087
stage3-6,stage16-20,-0.1662900014712832
stage7-15,stage16-20,0.245500799260484
stage16-20,stage16-20,0.2132128087424978
