hemi,roi,mean_residual_z_difference
L,BANKSSTS,0.0820072878365752
L,CAUDALANTERIORCINGULATE,0.1757341957363661
L,CAUDALMIDDLEFRONTAL,0.1398961989463465
L,CUNEUS,0.4201072479300894
L,ENTORHINAL,-0.3171484564696282
L,FUSIFORM,0.1102935582340967
L,INFERIORPARIETAL,0.1651168477652027
L,INFERIORTEMPORAL,-0.0343764691387536
L,ISTHMUSCINGULATE,0.0412780111794255
L,LATERALOCCIPITAL,0.3530916370276427
L,LATERALORBITOFRONTAL,0.0943913646742662
L,LINGUAL,0.351880252310865
L,MEDIALORBITOFRONTAL,0.1119984986524855
L,MIDDLETEMPORAL,0.0091923921211395
L,PARAHIPPOCAMPAL,-0.1750820981186333
L,PARACENTRAL,0.4258090001290176
L,PARSOPERCULARIS,0.1276891964674942
L,PARSORBITALIS,0.1275986645392003
L,PARSTRIANGULARIS,0.1646178140176259
L,PERICALCARINE,0.5510553181494111
L,POSTCENTRAL,0.3881527906262222
L,POSTERIORCINGULATE,0.1171415016412927
L,PRECENTRAL,0.3473429973122042
L,PRECUNEUS,0.1509914594178267
L,ROSTRALANTERIORCINGULATE,0.0907449004903309
L,ROSTRALMIDDLEFRONTAL,0.0964686542853956
L,SUPERIORFRONTAL,0.1289372831612825
L,SUPERIORPARIETAL,0.3041569553293499
L,SUPERIORTEMPORAL,0.093459323155827
L,SUPRAMARGINAL,0.140764409974432
L,FRONTALPOLE,0.1076758072162878
L,TEMPORALPOLE,-0.1137893899650527
L,TRANSVERSETEMPORAL,0.4416003133135202
L,INSULA,-0.0241690360600437
R,BANKSSTS,0.1454051368816472
R,CAUDALANTERIORCINGULATE,0.2316639791323381
R,CAUDALMIDDLEFRONTAL,0.182737765207326
R,CUNEUS,0.4407631589300442
R,ENTORHINAL,-0.3144708811982601
R,FUSIFORM,0.1630333373276368
R,INFERIORPARIETAL,0.2141095080350814
R,INFERIORTEMPORAL,0.0361326235658195
R,ISTHMUSCINGULATE,0.0862412173610299
R,LATERALOCCIPITAL,0.4298319098304727
R,LATERALORBITOFRONTAL,0.1371836632013548
R,LINGUAL,0.406592200546767
R,MEDIALORBITOFRONTAL,0.1535119030092662
R,MIDDLETEMPORAL,0.0929881533232696
R,PARAHIPPOCAMPAL,-0.1382239777593969
R,PARACENTRAL,0.3934003885791568
R,PARSOPERCULARIS,0.1587177106813
R,PARSORBITALIS,0.1786660436611269
R,PARSTRIANGULARIS,0.2339556788365928
R,PERICALCARINE,0.5815047004629106
R,POSTCENTRAL,0.415781357808077
R,POSTERIORCINGULATE,0.1741652951661493
R,PRECENTRAL,0.439299578547365
R,PRECUNEUS,0.208529037631985
R,ROSTRALANTERIORCINGULATE,0.1502316945312055
R,ROSTRALMIDDLEFRONTAL,0.1202253668209573
R,SUPERIORFRONTAL,0.1780939116865371
R,SUPERIORPARIETAL,0.3529038540692495
R,SUPERIORTEMPORAL,0.1900547697737042
R,SUPRAMARGINAL,0.2368745669331946
R,FRONTALPOLE,0.0740965865687751
R,TEMPORALPOLE,-0.0721224672267948
R,TRANSVERSETEMPORAL,0.4366198226093
R,INSULA,0.0354605482485547
